host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
192.168.85.147;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.1;;;tcp;21;ftp;filtered;;;no-response;;3;
192.168.85.1;;;tcp;22;ssh;filtered;;;no-response;;3;
192.168.85.1;;;tcp;23;telnet;filtered;;;no-response;;3;
192.168.85.1;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.1;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.1;;;tcp;8080;http-proxy;filtered;;;no-response;;3;
192.168.85.144;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.144;;;tcp;22;ssh;closed;;;reset;;3;
192.168.85.144;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.144;;;tcp;80;http;closed;;;reset;;3;
192.168.85.144;;;tcp;443;https;closed;;;reset;;3;
192.168.85.144;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.147;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.2;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.2;;;tcp;22;ssh;closed;;;reset;;3;
192.168.85.2;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.2;;;tcp;80;http;closed;;;reset;;3;
192.168.85.2;;;tcp;443;https;closed;;;reset;;3;
192.168.85.2;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.254;;;tcp;21;ftp;filtered;;;no-response;;3;
192.168.85.254;;;tcp;22;ssh;filtered;;;no-response;;3;
192.168.85.254;;;tcp;23;telnet;filtered;;;no-response;;3;
192.168.85.254;;;tcp;80;http;filtered;;;no-response;;3;
192.168.85.254;;;tcp;443;https;filtered;;;no-response;;3;
192.168.85.254;;;tcp;8080;http-proxy;filtered;;;no-response;;3;
192.168.85.147;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.147;;;tcp;21;ftp;closed;;;reset;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;23;telnet;closed;;;reset;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.147;;;tcp;443;https;closed;;;reset;;3;
192.168.85.147;;;tcp;8080;http-proxy;closed;;;reset;;3;
192.168.85.147;;;udp;21;ftp;closed;;;port-unreach;;3;
192.168.85.147;;;udp;22;ssh;closed;;;port-unreach;;3;
192.168.85.147;;;udp;23;telnet;closed;;;port-unreach;;3;
192.168.85.147;;;udp;80;http;closed;;;port-unreach;;3;
192.168.85.147;;;udp;443;https;closed;;;port-unreach;;3;
192.168.85.147;;;udp;8080;http-alt;closed;;;port-unreach;;3;
192.168.85.147;;;tcp;5060;sip;closed;;;reset;;3;
192.168.85.147;;;udp;5060;sip;open;;;udp-response;;3;
192.168.85.147;;;tcp;5060;sip;closed;;;reset;;3;
192.168.85.147;;;udp;5060;sip;open;;;udp-response;;3;
192.168.85.147;;;tcp;5060;sip;closed;;;reset;;3;
192.168.85.147;;;udp;5060;sip;open;;;udp-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;25;smtp;open|filtered;;;no-response;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;udp;139;netbios-ssn;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;53;domain;open;;;syn-ack;;3;
192.168.85.147;;;udp;53;domain;open;;;udp-response;;3;
192.168.85.147;;;udp;68;dhcpc;open|filtered;;;no-response;;3;
192.168.85.147;;;tcp;22;ssh;open;;;syn-ack;;3;
192.168.85.147;;;tcp;80;http;open;;;syn-ack;;3;
192.168.85.1;;;udp;11;systat;open|filtered;;;no-response;;3;
192.168.85.2;;;udp;11;systat;open|filtered;;;no-response;;3;
192.168.85.254;;;udp;11;systat;open|filtered;;;no-response;;3;
